Likely to Change Occupation,Geographic Mobility,Professional Networks,Job Satisfaction,Work-Life Balance,Skills Gap,Salary,Job Security,Years of Experience,Age,Job Opportunities,Industry Growth Rate
1,0,1,1,7,2,47091,6,4,20,3,High
1,1,2,5,6,6,133445,10,20,53,15,Low
0,1,2,8,8,9,65410,10,31,55,59,Medium
0,0,3,10,7,10,70287,8,22,20,43,Low
1,0,4,10,8,3,108438,9,24,45,82,Low
1,0,7,4,6,4,163277,6,21,43,93,High
1,1,10,4,10,7,86003,9,2,51,55,Medium
1,0,2,2,5,8,115946,2,11,31,10,Low
0,0,8,7,5,6,157711,4,35,48,80,Low
1,0,6,1,3,7,85552,4,21,36,82,High
1,0,3,1,9,9,181559,5,30,57,61,High
1,0,2,9,7,1,48181,1,16,36,87,High
1,0,6,4,10,8,150418,1,13,25,27,High
0,0,1,7,8,2,113590,6,34,50,40,High
1,0,3,9,10,8,119968,8,7,47,87,Medium
0,1,6,7,10,10,72993,3,25,48,12,Medium
1,0,1,4,1,7,113661,6,4,31,16,Low
0,0,2,8,6,3,161177,2,37,34,32,Medium
0,0,4,10,9,4,148095,3,20,26,29,High
0,0,2,9,1,8,88268,8,39,27,38,High
1,0,4,9,5,4,111477,1,25,56,5,High
1,0,9,1,8,7,123781,7,38,25,70,High
1,1,4,8,6,9,118123,7,17,22,96,Low
0,0,5,6,6,4,68243,8,31,43,57,High
0,1,7,7,6,3,130254,10,33,37,69,Medium
0,1,9,9,8,5,180181,10,1,59,61,High
1,0,10,7,6,5,32153,3,9,45,91,Low
0,0,1,7,2,1,67125,6,1,40,54,Medium
1,0,6,4,4,4,69602,10,17,23,26,High
0,0,5,6,9,10,86995,3,25,53,69,High
0,0,6,7,1,10,119523,3,34,34,13,High
0,1,9,6,1,2,198404,4,30,57,11,Medium
0,0,5,7,2,7,136354,5,1,44,47,High
0,0,3,8,2,8,147801,9,6,46,55,High
0,0,1,9,7,10,52067,5,34,41,9,Medium
1,0,2,9,7,6,147983,2,33,30,13,High
0,1,1,6,10,3,141696,5,34,58,35,High
1,1,1,4,1,3,81662,3,19,41,1,Low
1,1,5,2,1,6,196901,1,36,50,24,High
0,1,8,9,9,6,179970,9,27,45,49,Low
1,0,7,2,9,2,170237,1,24,39,63,High
1,0,8,2,2,10,79399,3,22,43,62,Low
1,0,6,8,3,8,36152,8,23,55,32,High
0,1,10,10,2,1,83253,10,11,58,5,Low
0,1,4,5,3,1,187143,9,12,26,34,Medium
1,0,2,7,3,9,66976,8,3,22,4,High
0,0,6,7,3,8,135715,5,38,29,98,Medium
1,1,5,6,3,9,46666,3,29,41,70,Low
1,1,8,2,2,1,93200,7,18,57,83,Medium
1,1,3,2,10,6,65756,8,31,22,100,High
0,0,3,6,2,3,125423,7,8,51,27,Low
1,0,5,4,5,4,173692,6,5,26,34,High
0,0,10,8,9,9,120334,9,2,57,84,Medium
0,0,2,5,4,10,65323,5,24,51,80,High
0,0,9,7,4,8,72136,10,29,22,72,Low
1,0,10,9,5,1,31141,6,16,52,43,High
1,0,6,7,4,4,100112,1,11,25,31,Medium
0,0,9,7,4,5,197320,7,11,53,85,Low
1,1,5,1,2,3,184483,10,1,42,17,Medium
0,1,5,7,5,2,185389,6,31,47,53,Medium
1,0,1,2,8,4,164983,9,31,28,18,Low
0,0,4,10,1,1,79809,1,17,39,74,High
0,0,4,8,10,3,158865,4,24,21,99,Medium
0,0,10,10,6,8,118868,2,29,26,59,High
1,0,2,1,6,10,137765,3,26,47,76,High
1,1,2,6,9,2,34194,5,24,54,24,Medium
1,0,4,1,10,4,134752,2,5,37,67,Medium
0,0,6,7,1,10,154468,5,37,43,92,High
1,0,1,2,8,7,178254,1,31,27,41,Low
1,0,7,2,7,3,179939,8,3,55,8,Low
1,1,9,6,6,4,151680,5,4,28,56,Medium
0,1,4,6,4,7,68779,9,11,38,96,High
1,0,5,4,5,6,90871,9,22,37,47,Low
1,0,1,7,10,6,43725,1,9,49,75,Medium
1,0,4,1,2,7,118604,3,16,59,17,Medium
1,0,6,4,1,3,35223,8,13,39,73,Medium
1,1,7,3,4,5,173340,6,16,55,14,Medium
0,0,9,8,3,9,78730,8,38,24,24,Medium
0,0,8,10,2,5,129109,7,13,33,53,Low
1,0,7,2,9,10,186520,3,5,23,39,Medium
0,0,2,9,4,8,109335,8,37,56,64,High
1,1,2,2,10,6,96925,6,12,42,71,Low
0,0,9,9,5,1,199200,2,13,56,53,Medium
1,0,7,6,6,7,89761,3,8,36,42,Medium
1,1,10,4,1,6,169737,6,3,25,31,High
1,1,6,1,1,5,63503,4,6,21,95,Medium
0,0,5,10,10,10,118995,5,17,52,17,High
1,0,6,2,5,10,134342,3,15,26,56,Low
1,0,1,3,4,5,75676,8,18,59,38,Low
1,0,10,4,10,1,36196,7,12,22,9,High
0,0,4,10,3,2,142319,2,4,23,82,Low
0,0,3,9,9,1,76958,6,31,39,83,Low
0,0,8,7,10,1,187034,4,22,28,34,High
1,0,10,3,8,6,197956,5,15,55,44,Low
0,0,4,5,7,7,149191,3,25,34,23,High
1,1,6,2,6,5,81159,5,9,51,26,Medium
1,0,8,5,2,2,37672,6,13,58,6,Medium
0,1,2,9,5,5,72791,10,3,41,78,Low
0,0,7,7,6,4,139526,8,20,20,94,Low
1,0,6,6,8,4,176538,8,11,55,29,Low
1,0,3,1,2,3,94174,8,39,35,44,High
1,1,2,1,6,5,134034,3,0,23,56,Low
1,0,4,2,8,1,163816,8,15,45,60,High
1,0,4,3,3,8,43724,9,11,51,16,Low
1,0,5,5,8,9,123100,4,19,59,74,High
0,0,4,10,5,8,97741,5,28,46,34,Low
1,0,3,5,3,3,46872,4,30,56,10,High
1,0,1,4,2,6,105008,6,32,50,91,Medium
0,0,6,8,2,9,83089,8,10,31,66,High
1,0,5,7,8,5,72668,7,8,59,7,Low
1,0,1,3,7,8,112924,10,25,45,68,Low
0,1,1,6,7,6,71281,8,5,46,7,High
0,0,2,10,6,4,115121,8,22,57,64,Medium
1,0,6,3,1,7,109122,3,32,47,49,High
0,1,9,5,8,8,118526,5,22,36,16,Low
0,0,4,5,4,10,136114,3,15,41,47,High
0,0,5,7,3,9,98079,8,33,39,78,Medium
0,0,6,8,10,10,134115,7,10,51,82,Medium
1,1,5,2,2,2,139901,1,9,46,75,Medium
0,1,7,9,4,2,62186,5,38,56,18,Low
0,1,8,6,3,3,171152,6,25,57,94,High
1,1,2,8,9,10,168988,10,0,24,54,Low
1,0,4,1,1,1,62283,4,0,23,68,High
1,0,5,2,7,3,180121,6,22,33,57,High
0,1,1,7,10,7,92497,4,7,24,31,Low
1,0,4,3,9,2,135619,2,10,30,54,Low
0,1,8,10,8,4,136327,6,35,20,52,Low
1,1,7,7,2,5,73675,4,18,52,86,Medium
0,1,9,9,4,6,190454,7,35,30,63,Medium
1,1,7,5,4,1,182712,10,13,51,53,High
1,0,7,4,9,8,41610,7,17,20,8,High
1,0,9,1,10,3,172582,3,39,41,30,Medium
0,0,7,7,10,9,116445,1,1,36,98,High
0,0,10,6,8,10,61467,10,15,54,79,Low
0,0,9,9,7,8,56265,3,8,40,51,Medium
0,0,5,5,2,5,56100,10,6,43,99,Medium
0,1,7,5,4,1,171663,3,2,25,75,High
1,0,8,4,4,2,139495,2,23,56,3,High
0,0,8,6,4,1,66445,4,19,37,11,High
0,0,7,5,1,3,65643,7,8,47,80,Low
0,1,1,6,7,10,143069,7,27,50,79,Medium
1,0,7,8,9,9,33020,4,10,59,29,High
0,0,5,6,2,1,58336,10,31,52,50,Low
0,0,10,7,1,10,180367,9,34,54,78,High
0,0,10,6,3,7,134206,7,1,21,23,Low
0,1,8,6,9,1,99897,8,27,29,20,Medium
0,0,7,6,2,10,138094,5,39,50,5,Low
1,1,2,8,6,8,183683,6,35,47,23,High
0,1,6,7,1,2,62854,10,22,57,15,Medium
1,0,2,6,5,3,146587,5,6,44,99,High
1,1,7,2,10,9,186990,9,17,56,42,Low
0,1,2,6,9,4,156706,10,23,27,84,Medium
1,0,5,2,6,5,100675,9,29,27,52,High
1,1,9,4,5,4,60202,10,39,20,68,High
1,0,6,1,3,7,139615,9,33,56,50,Low
0,0,2,6,8,10,119784,2,37,35,3,High
1,0,5,4,1,2,135245,1,16,20,39,Low
1,0,4,4,6,8,153613,10,16,54,33,Low
1,0,9,4,2,1,87259,10,36,37,46,Low
1,1,8,2,2,10,165482,4,15,59,83,Medium
1,0,3,7,1,3,50592,5,8,56,17,Low
1,1,5,7,8,7,135912,8,0,31,25,High
1,0,6,4,5,7,155872,9,1,39,21,High
0,1,9,7,1,10,62650,7,16,51,45,High
0,1,10,10,2,4,180602,8,22,22,33,Low
0,0,9,6,10,1,114240,10,28,42,58,High
0,0,7,6,8,2,83835,6,29,48,55,High
0,0,4,7,9,5,127362,6,1,53,43,Low
1,1,5,2,1,3,143673,10,36,49,21,Low
1,1,7,4,8,1,137954,10,18,50,77,Medium
1,0,2,5,9,5,100523,1,39,40,36,Low
1,1,9,3,9,1,121827,2,2,46,19,High
0,0,1,9,5,10,56415,10,0,23,29,Medium
0,1,6,5,1,3,150491,5,7,22,13,Medium
1,0,2,7,9,7,123585,9,25,48,26,Low
0,0,3,6,8,4,143254,4,36,54,86,Low
0,0,2,10,9,5,141513,2,14,27,60,Low
0,0,7,10,5,3,86194,1,6,46,11,Medium
1,0,4,5,10,10,176985,8,18,21,33,Low
1,0,9,4,7,6,136081,2,2,20,46,High
0,0,1,10,9,7,74934,9,6,36,34,High
0,1,2,7,6,3,133637,6,4,22,47,High
0,0,1,9,4,8,89350,2,24,24,52,High
1,0,9,3,5,7,62068,2,0,49,38,Low
0,0,9,10,5,6,58069,9,15,49,1,High
0,0,10,5,4,1,168420,8,35,23,88,Medium
1,1,5,8,3,4,157168,10,22,33,26,High
1,0,6,3,9,8,196578,10,1,35,74,Low
1,0,6,10,6,6,163658,4,31,49,42,High
1,1,6,8,10,1,30808,6,10,39,24,High
1,0,2,1,4,1,160645,2,29,43,65,High
1,0,6,2,10,4,122685,6,34,38,93,Low
0,0,5,9,1,5,183821,10,24,25,17,High
0,1,7,8,2,3,143511,2,34,30,46,High
1,1,1,2,8,5,171049,2,19,20,98,High
1,0,5,1,9,2,117862,3,12,53,26,Medium
1,0,9,1,7,10,177452,10,0,23,21,High
1,0,4,7,8,3,165938,8,33,46,53,High
1,0,6,3,7,8,199065,5,0,45,37,Low
1,0,3,9,5,1,39401,3,18,46,2,High
0,0,9,5,4,4,116800,9,14,59,80,High
1,1,6,1,1,9,79038,2,16,41,69,Medium
1,0,3,6,4,5,63459,2,29,48,3,High
1,0,10,3,6,6,117476,5,39,20,5,Low
1,0,4,4,9,3,120867,7,20,32,57,High
1,1,5,9,6,9,131203,8,8,50,57,Low
1,0,2,8,6,5,120389,1,10,37,61,High
0,0,7,8,6,1,112755,2,29,40,83,Medium
0,0,6,10,4,10,136164,4,31,45,27,Low
0,0,10,5,2,5,153187,8,37,59,4,High
0,0,5,6,7,2,99441,4,38,47,62,High
0,0,8,6,2,7,121426,5,16,27,93,High
0,1,7,9,1,6,98317,3,17,34,62,Medium
0,0,9,5,6,7,121196,9,11,35,40,High
0,0,7,9,4,2,137619,9,32,27,41,High
0,0,7,9,6,5,163597,2,27,24,65,Low
1,0,8,3,10,3,142441,6,38,51,10,High
1,0,2,1,9,2,144909,5,2,40,30,Medium
1,0,6,3,9,2,196899,3,29,28,90,Low
1,0,8,5,10,2,157825,4,1,52,90,High
0,0,1,6,4,3,63108,6,37,25,49,Low
1,1,3,6,6,8,37385,2,21,35,27,High
0,0,5,9,1,3,187600,2,7,52,15,Medium
1,0,3,7,1,7,37888,4,17,25,95,Medium
1,0,4,3,7,10,133708,8,27,51,48,Low
0,1,5,7,10,4,102670,3,32,23,86,Low
1,1,7,3,4,10,106148,7,16,35,68,High
0,1,4,8,6,7,157284,6,29,47,60,High
1,0,9,1,7,6,83614,10,34,23,31,Medium
1,0,6,3,8,3,54436,10,11,46,86,Medium
1,0,3,8,7,9,59144,8,20,54,1,Low
1,0,5,10,6,3,127043,2,38,32,54,Low
1,0,10,1,9,10,133944,9,27,28,43,Medium
0,0,7,5,5,9,131275,8,6,24,42,Medium
0,0,1,7,1,6,50144,9,3,27,29,Low
0,0,4,5,5,8,148327,8,32,35,42,Medium
1,0,7,8,5,9,34176,4,22,55,1,Low
1,1,4,1,6,3,68522,10,26,36,40,Medium
0,1,7,10,2,7,182422,5,37,41,45,Medium
1,0,9,3,8,8,71302,6,25,24,82,High
0,1,7,10,7,5,92293,6,31,21,8,High
1,0,3,6,4,2,37846,10,8,45,27,Medium
0,0,1,10,1,5,118136,10,39,53,54,High
0,0,1,10,2,1,100855,2,23,42,17,High
0,0,2,5,5,5,165137,3,28,23,9,Low
1,0,6,4,5,7,158159,3,10,45,65,Medium
1,1,8,4,6,5,160794,2,24,37,43,Low
1,0,7,3,3,1,57412,7,21,24,20,Medium
1,0,8,1,8,1,199376,2,38,54,87,High
1,0,4,6,5,5,86258,10,17,57,84,High
0,0,6,6,8,10,92713,9,22,48,80,Medium
0,0,3,6,2,2,120082,9,31,23,30,Low
1,0,9,4,8,1,120995,10,27,46,35,Medium
1,0,8,1,6,4,164166,9,26,41,97,Medium
1,0,6,7,6,1,42199,4,10,40,36,Low
1,1,5,1,4,2,39206,1,18,28,67,High
1,0,10,3,4,7,135654,10,19,23,37,Medium
1,1,7,1,9,8,46124,9,17,55,76,High
1,1,1,4,3,10,117641,8,16,28,41,Low
1,0,2,7,7,5,105081,9,1,22,74,Low
1,0,6,5,8,2,32964,5,32,56,17,Medium
1,0,4,3,6,1,97559,2,28,53,9,Low
1,0,3,6,7,8,185389,8,27,23,14,Medium
1,0,7,1,5,7,42230,2,34,53,98,Medium
1,0,10,2,8,8,67085,8,18,36,28,Low
1,1,3,3,3,4,52998,5,14,41,45,High
1,0,6,2,1,1,168396,8,7,45,7,Medium
1,1,6,4,10,2,94542,5,16,22,49,High
0,1,6,8,5,1,50471,3,24,30,1,Medium
1,1,9,6,6,9,116962,6,39,51,21,Low
0,0,3,10,8,3,161669,6,30,28,8,Low
1,0,9,2,2,8,40177,2,15,25,54,Medium
0,1,1,8,9,7,70725,7,32,37,70,Low
0,0,8,8,6,6,62222,3,8,24,27,Low
1,1,6,4,6,4,115485,1,14,44,39,Medium
1,1,3,3,1,8,113335,9,23,24,72,Medium
1,0,5,1,5,3,66967,9,32,37,10,High
1,0,3,2,6,4,111577,8,7,32,30,High
1,0,2,6,6,3,138528,8,31,21,11,High
0,0,8,6,7,2,199849,6,25,44,42,High
1,0,10,3,10,2,154910,4,14,31,52,Medium
1,0,9,2,10,8,86381,6,28,24,95,High
1,1,2,6,1,6,152805,6,21,43,12,Low
1,0,8,2,4,9,55237,4,20,56,11,Low
1,1,6,9,3,10,189433,4,25,34,87,Low
1,1,1,2,5,3,183255,5,2,43,99,High
0,1,5,5,1,4,130234,10,14,40,62,Low
1,1,2,1,4,2,145897,1,17,48,18,Medium
1,0,4,2,8,4,59012,5,15,41,61,Medium
1,0,4,3,3,6,147016,5,12,53,97,Low
0,1,2,7,2,9,79806,2,35,46,25,High
0,0,5,7,5,5,157725,5,12,53,88,Low
1,0,5,4,8,3,176238,5,39,51,54,Low
1,1,3,1,4,6,114643,7,36,57,84,Medium
1,1,8,3,2,9,179329,2,19,35,23,High
1,0,9,1,2,1,65208,7,4,23,4,Low
1,0,10,8,6,10,142650,10,20,20,81,High
1,0,4,1,10,2,120050,10,5,43,36,High
1,0,4,4,3,1,109815,10,37,59,91,Low
0,0,7,6,9,3,69347,2,21,29,63,High
0,1,7,10,5,6,140401,1,35,50,52,Medium
1,1,3,3,3,2,119077,4,28,23,74,Low
0,0,6,9,3,8,71818,8,8,51,65,High
0,0,1,8,10,6,56034,2,33,42,1,Medium
0,0,9,8,7,6,192302,1,32,35,64,High
1,0,5,4,9,6,46978,2,18,38,11,Medium
1,0,1,2,6,5,41535,7,38,34,40,Low
1,0,1,6,1,8,56073,9,33,58,3,High
1,0,7,9,2,10,39770,3,4,45,64,Medium
0,0,4,9,7,8,137110,3,33,25,18,High
1,0,8,9,1,4,34139,6,21,35,68,High
0,0,8,8,8,3,118589,7,27,51,64,Medium
1,0,2,2,10,4,145182,6,3,45,7,Medium
1,0,4,6,3,5,105651,2,16,47,49,High
0,0,2,10,10,5,145717,6,11,51,64,High
1,0,2,9,7,9,43273,6,30,27,24,Medium
0,0,9,10,1,5,58238,10,37,54,100,High
0,0,9,10,7,3,77307,5,6,43,43,Low
0,1,8,8,1,7,66427,3,0,48,26,High
0,0,6,5,6,7,140031,4,10,24,10,High
1,0,9,1,8,7,197537,10,32,20,19,High
0,0,5,9,8,6,155222,7,32,59,95,Low
0,0,3,10,4,8,63700,7,20,32,34,Low
0,1,6,5,9,7,143842,7,34,58,35,Low
1,0,7,10,10,10,178117,7,21,47,18,Low
0,1,1,7,4,2,170655,7,32,47,59,High
0,0,2,6,4,5,197036,7,14,47,7,High
0,0,7,6,4,1,114548,9,11,57,25,Low
1,0,6,3,6,3,118277,2,30,34,91,High
1,1,10,2,7,2,161212,10,38,54,61,High
1,1,7,2,3,5,177704,5,6,39,69,Low
1,0,6,2,4,3,149087,9,15,40,96,Medium
1,0,1,7,10,6,101235,8,38,26,32,Low
1,1,5,5,6,9,39697,4,21,48,69,High
1,0,2,10,9,8,133447,3,21,37,46,High
1,0,1,2,7,9,150979,10,3,52,92,High
0,0,5,5,7,7,156772,5,15,46,71,Medium
0,0,5,6,10,6,193409,10,30,22,5,Low
0,0,7,6,3,1,138945,6,10,29,77,Medium
0,0,4,6,9,5,77688,5,28,41,41,Medium
1,0,7,1,5,1,73423,7,29,49,69,High
0,1,3,9,4,8,192954,5,19,50,32,Low
1,0,10,4,5,3,76017,8,22,26,70,Medium
0,1,2,7,8,2,73407,1,10,32,38,Low
1,0,4,7,4,9,145184,7,24,59,94,Medium
1,0,8,4,5,10,124643,4,21,47,11,Medium
1,1,6,3,7,6,149569,9,19,20,32,High
0,1,1,9,4,4,102567,1,9,32,54,Medium
1,0,10,1,7,9,129855,5,35,56,9,Low
1,0,4,5,9,5,90449,6,32,25,99,Medium
1,1,7,1,9,9,104376,1,28,29,4,High
0,0,4,7,6,10,103698,2,31,41,93,High
1,1,5,4,2,4,72215,5,26,40,81,Low
1,0,4,8,9,7,54443,1,8,47,14,High
1,1,3,2,8,2,56581,10,33,56,83,Low
1,0,6,3,4,5,46936,6,28,43,57,Medium
0,0,10,10,9,3,70796,3,19,22,50,Low
1,0,9,2,10,2,175991,3,12,26,23,High
1,1,6,3,3,7,83421,3,31,53,95,Low
0,0,4,7,6,3,62778,8,4,44,55,Low
0,0,5,6,3,5,106762,4,1,27,52,Medium
1,1,8,4,8,5,89882,9,18,30,1,Medium
1,1,8,4,4,4,119582,1,37,25,54,Medium
1,1,7,1,6,7,69639,4,18,30,42,Medium
1,1,5,2,3,3,116973,10,18,54,13,Low
0,0,5,10,2,5,51986,1,22,58,22,Low
1,0,5,10,9,1,35378,5,19,29,26,Low
1,0,3,4,7,8,186641,3,12,29,68,High
1,0,5,2,9,1,92652,10,0,30,48,Low
0,0,6,8,3,8,89688,2,12,24,17,Low
0,0,7,9,4,3,148846,3,28,54,32,Low
1,0,10,4,5,9,133954,9,35,57,90,Medium
0,1,7,5,3,3,174133,6,7,42,31,Medium
1,0,9,10,1,3,43176,9,16,46,48,High
0,1,5,7,7,4,164676,4,9,20,4,High
1,1,4,4,1,10,72524,10,35,42,60,High
0,0,5,7,6,3,66047,1,35,26,18,Low
0,1,6,10,5,2,176547,6,5,56,81,High
0,0,8,10,9,9,163571,10,31,21,30,Medium
1,0,5,2,5,5,62388,10,9,41,42,Medium
0,1,2,10,4,7,55698,8,11,52,28,High
0,1,10,10,1,3,182016,7,22,54,47,Low
1,1,3,1,2,8,161042,3,6,42,22,Medium
1,0,9,1,10,6,64706,5,4,21,95,Medium
1,1,2,1,10,3,167476,2,2,44,76,Medium
1,0,7,2,3,3,197335,5,0,34,43,Medium
1,0,3,4,1,1,51791,4,23,57,75,Low
1,0,2,1,9,9,195595,5,37,22,20,Low
1,0,10,3,9,1,81202,10,24,28,25,High
1,1,5,3,8,6,171976,3,20,24,91,Low
1,0,2,4,10,5,54370,3,19,41,84,Low
1,1,9,3,8,7,65193,4,20,40,93,Medium
0,0,4,10,2,4,77178,2,33,28,66,Medium
1,1,6,2,3,4,114848,4,39,23,96,Low
1,0,10,4,4,8,182152,2,4,45,54,Low
0,0,3,7,10,8,123439,1,30,24,56,High
1,0,1,2,9,5,64775,1,27,47,38,High
1,0,3,1,10,6,117074,10,14,26,6,Low
0,1,7,5,8,5,182379,5,7,39,83,Low
1,0,8,2,5,9,135700,8,39,53,48,Medium
1,0,8,2,10,6,190732,3,2,21,64,Medium
0,0,5,5,1,5,183207,3,15,32,62,High
0,1,8,9,5,1,162085,4,5,41,48,Medium
1,0,9,10,10,9,187875,1,11,56,29,Low
0,0,6,9,7,1,187982,9,34,24,45,Low
1,1,8,4,9,8,169043,10,5,42,77,Medium
1,0,5,4,2,10,122336,5,29,26,24,Medium
0,0,4,10,4,1,196354,8,4,36,87,Medium
0,0,1,5,4,9,196892,4,34,36,40,Medium
1,0,3,9,2,2,163572,10,21,51,64,Low
0,0,3,10,9,9,131300,8,22,58,34,Medium
1,0,2,8,8,6,34388,9,36,25,35,Medium
1,0,6,4,6,4,189534,7,8,48,74,High
0,1,8,8,9,2,144125,8,7,45,93,High
1,0,3,7,9,10,174319,2,27,27,64,Medium
1,0,6,3,1,10,177245,8,18,31,88,High
1,0,5,3,7,3,181557,7,39,36,53,Low
1,0,3,10,7,9,48966,10,30,38,40,Medium
0,1,10,8,3,9,73799,1,31,34,84,Low
1,0,7,10,7,2,152857,3,14,38,66,Medium
1,1,2,6,2,5,46231,3,11,28,83,Low
1,0,4,8,1,9,46499,1,0,45,37,Medium
0,0,8,7,7,9,54239,8,26,28,92,Medium
1,1,5,5,6,3,33402,3,8,38,81,High
0,0,9,7,6,6,132544,9,37,34,70,Medium
1,0,5,8,10,4,61781,10,11,42,63,Medium
1,0,9,1,7,8,98641,7,16,48,79,Low
1,0,6,1,2,2,86224,5,20,48,24,High
1,0,7,7,2,9,91057,3,1,35,18,High
0,0,4,7,3,3,122146,4,0,35,63,High
1,1,8,8,9,1,48995,6,10,47,54,Low
0,0,6,5,6,1,178651,10,35,33,4,Low
0,0,7,9,9,1,184554,4,7,34,20,Low
1,1,7,2,1,6,35691,4,15,38,67,High
1,1,3,3,4,3,197869,3,8,27,88,Medium
0,0,8,10,6,10,103224,1,27,27,39,Medium
1,1,1,4,4,8,53664,5,12,43,19,Medium
0,1,8,6,6,2,96107,1,4,59,27,Low
0,1,7,5,2,3,188099,10,0,21,19,High
1,1,8,1,7,10,177126,1,22,43,90,Low
0,0,3,6,10,7,153570,7,23,28,19,Low
0,0,6,8,3,7,80620,6,6,37,19,Low
0,0,10,9,3,3,125540,5,31,26,90,Low
0,0,10,9,6,6,62161,3,20,31,68,Low
1,0,6,1,1,8,77802,9,19,56,24,High
0,0,3,5,4,1,190885,6,15,35,93,Low
0,0,10,7,3,8,73107,6,6,24,100,High
0,1,4,5,6,10,62984,5,35,59,67,High
1,1,10,2,2,7,140375,6,8,26,30,Medium
0,1,2,6,3,10,167370,8,29,41,66,High
1,0,6,2,1,7,86772,4,36,26,14,Medium
1,0,9,6,4,3,47970,10,10,38,36,Low
0,0,2,7,4,4,198095,10,27,46,19,Low
0,0,2,10,5,9,147637,2,6,33,37,Low
1,0,3,4,7,9,114740,4,38,47,6,Low
1,0,4,2,8,1,108006,8,27,56,91,High
0,0,2,5,10,4,125609,1,21,47,18,High
0,0,10,10,9,6,108287,4,29,44,17,High
1,0,7,5,10,9,58068,2,39,37,1,High
0,0,5,8,8,6,55420,9,19,53,91,Low
1,0,4,2,2,3,32254,2,6,35,94,High
1,0,7,10,7,4,129231,2,28,50,36,High
1,0,7,3,10,6,57414,7,23,32,3,Medium
0,0,10,9,5,3,117262,5,33,38,19,High
1,1,2,3,4,6,75194,2,29,28,17,High
1,0,10,3,9,2,59515,8,37,43,50,High
1,0,5,2,3,5,79606,6,24,24,95,Low
0,0,9,6,5,5,191256,6,31,32,100,Medium
0,0,4,8,7,9,176353,1,23,53,6,High
1,0,4,1,1,9,68596,3,19,38,82,Low
0,1,3,9,3,1,90313,9,20,24,76,Low
1,0,5,4,10,5,185678,10,7,24,95,Medium
0,1,7,7,7,4,113129,9,21,27,90,Low
1,1,10,2,4,3,142277,7,30,42,2,High
1,0,7,9,8,7,47145,4,6,27,42,High
1,0,3,3,8,4,72825,8,13,48,21,Medium
1,0,10,10,10,10,35811,6,21,44,88,Medium
1,1,5,1,8,10,171159,5,2,23,44,Low
0,1,5,5,5,6,169940,3,4,37,78,Low
1,1,1,2,1,8,126653,7,30,28,86,Low
0,1,8,8,5,8,79814,3,2,57,61,High
1,0,10,8,4,1,148925,8,19,23,65,Medium
0,0,3,9,6,10,60117,1,11,23,93,Medium
1,0,7,4,4,2,144464,9,32,31,1,High
0,0,9,8,3,6,54274,7,29,55,14,Low
1,1,2,4,5,10,179230,10,0,22,6,High
1,0,6,7,4,6,59990,1,16,49,95,High
0,0,6,8,4,8,138004,10,21,39,35,Medium
1,0,4,4,5,2,185549,2,2,34,49,High
1,0,3,1,1,2,120981,1,22,20,78,Low
0,0,2,7,9,9,52337,9,29,23,33,Medium
1,0,4,2,5,3,76548,9,14,34,98,Medium
0,1,5,9,9,7,70830,5,37,51,95,Medium
1,1,8,7,8,3,44316,7,39,29,57,High
1,0,3,4,8,10,141450,6,24,40,100,Medium
1,0,8,2,8,2,195430,3,31,53,87,High
1,0,5,2,7,10,173921,4,27,58,38,High
0,0,8,5,4,6,191784,7,30,30,28,High
0,1,7,6,7,2,147681,7,15,31,57,Low
0,0,2,8,9,3,180006,3,20,22,98,High
1,1,2,4,1,10,61818,1,11,29,63,Low
0,1,9,10,3,7,74258,5,12,20,73,Low
0,0,8,8,5,8,118667,2,34,23,12,Low
0,1,1,8,2,8,154104,9,18,53,37,Low
0,1,4,6,2,5,93389,5,0,26,85,High
1,0,10,1,9,2,77425,9,24,47,85,Low
1,0,3,2,1,2,177898,1,35,40,9,Low
0,1,5,8,10,10,114479,8,24,21,94,Low
1,0,7,7,9,8,34310,5,29,28,12,Low
1,0,2,6,4,9,49888,8,24,33,32,High
1,0,5,7,8,5,67020,3,32,27,21,High
0,1,1,7,7,4,97487,8,12,53,2,Low
1,1,9,1,8,9,33454,4,7,36,56,High
1,1,8,2,6,3,65894,2,6,28,85,Medium
0,0,5,7,8,4,148326,8,15,44,36,High
1,1,1,4,7,10,191639,3,11,27,64,High
0,1,5,9,3,1,146246,4,10,24,17,High
0,1,5,6,1,7,65977,1,15,20,30,High
0,1,8,9,10,3,133391,9,5,31,72,Medium
0,0,8,10,9,2,88904,5,38,49,7,High
1,0,5,2,4,5,142243,1,23,57,27,High
1,0,9,8,8,3,34049,1,22,24,55,High
1,0,5,2,4,1,182568,6,8,57,56,High
1,0,5,3,7,2,60501,4,28,22,33,Low
0,0,7,9,10,2,130432,9,18,42,83,High
0,0,9,9,1,2,144396,4,8,35,39,High
0,0,1,7,5,6,182651,1,10,36,22,Low
1,0,6,8,8,6,195406,2,26,23,5,Medium
1,0,7,3,3,3,176229,1,20,34,59,High
0,0,5,8,5,9,68587,6,1,27,25,High
1,0,8,4,3,1,77479,10,19,44,81,Medium
1,0,6,1,2,2,107996,8,7,54,92,Medium
1,0,8,3,1,5,86428,3,34,50,23,Low
0,1,2,5,3,8,170956,9,22,31,72,Medium
1,0,1,4,4,1,168571,4,29,42,67,Medium
0,0,8,8,1,7,168952,9,17,21,18,High
